PropertyCode,AccountCode,AccountName,PostDate,PostMonth,BatchRef,ControlNo,CheckNo,Payee,Description,Debit,Credit,Cleared,ClearedDate
wl1849,1010-000,Cash - Operating,2026-05-03,05/2026,CR-26050301,R-11488,,Tenant 308,Rent - unit 308,1275.00,,N,
wl1849,1010-000,Cash - Operating,2026-05-04,05/2026,CR-26050401,R-11501,,Tenant 101,Rent - unit 101,4200.00,,N,
wl1849,1010-000,Cash - Operating,2026-05-04,05/2026,CR-26050401,R-11502,,Tenant 204,Rent - unit 204,4150.00,,N,
wl1849,1010-000,Cash - Operating,2026-05-04,05/2026,CR-26050401,R-11503,,Tenant 312,Rent - unit 312,4100.00,,N,
wl1849,1010-000,Cash - Operating,2026-05-06,05/2026,CR-26050601,R-11510,,Various,Deposit - check batch 0506,8900.00,,N,
wl1849,1010-000,Cash - Operating,2026-05-07,05/2026,AP-26050701,V-20881,1038,Bayview Landscaping,Grounds maintenance - May,,4120.00,N,
wl1849,1010-000,Cash - Operating,2026-05-11,05/2026,AP-26051101,V-20894,1040,Harbor Plumbing Co,Unit 207 repair,,2875.50,N,
wl1849,1010-000,Cash - Operating,2026-05-14,05/2026,AP-26051401,V-20901,,Tenant 115,Refund - invoice 4912,,210.00,N,
wl1849,1010-000,Cash - Operating,2026-05-16,05/2026,AP-26051601,V-20907,,Tenant 119,Refund - invoice 4913,,210.00,N,
wl1849,1010-000,Cash - Operating,2026-05-18,05/2026,CR-26051801,R-11533,,Various,Deposit - check batch 0518,22600.00,,N,
wl1849,1010-000,Cash - Operating,2026-05-22,05/2026,AP-26052201,V-20915,1045,Summit Roofing LLC,Roof section B,,9340.00,N,
wl1849,1010-000,Cash - Operating,2026-05-24,05/2026,AP-26052401,V-20922,1042,Delta HVAC Services,Chiller service call,,3200.00,N,
wl1849,1010-000,Cash - Operating,2026-05-26,05/2026,JE-26052601,J-04417,,Internal,Transfer to capital reserve,,15000.00,N,
wl1849,1010-000,Cash - Operating,2026-05-28,05/2026,AP-26052801,V-20930,1051,Pacific Mutual Insurance,Property premium Q2,,8450.00,N,
wl1849,1010-000,Cash - Operating,2026-05-29,05/2026,AP-26052901,V-20938,1055,Kerr & Associates,Legal - lease review,,6590.50,N,
wl1849,1010-000,Cash - Operating,2026-05-31,05/2026,CR-26053101,R-11560,,Various,Deposit - rent batch 0531,9315.00,,N,
